artists,artists_id
"['RY X', 'Eagles & Butterflies']","['spotify:artist:2KjAo6wVc9d2WcxdxSArpV', 'spotify:artist:7lzrNOBAdfH8f4nVAWbRfk']"
"['Adana Twins', 'Jeppe Kjellberg']","['spotify:artist:2JnkjHtuUjz83gkEx8QMS4', 'spotify:artist:3Io6f7kMEdBLqj73eZPPns']"
Kellerkind,spotify:artist:4GYQytEFxnzqH96O6QywsA
D.Y.A,spotify:artist:4JY7cBKKHKLrNrHHtIUWr8
HVOB,spotify:artist:6RAx8RRxoHeJIqD2d0EjOa
"['Super Flu', 'Solomun']","['spotify:artist:1iZiG82D4w7FLHvOUUj4zW', 'spotify:artist:5wJK4kQAkVGjqM9x46KQOC']"
"['Thyladomid', 'Mâhfoud']","['spotify:artist:2ZK6csW8YIGpGGUiQO6wfW', 'spotify:artist:2lPOIPlOen5YhEB9JQ6DmR']"
Simple Minds,spotify:artist:6hN9F0iuULZYWXppob22Aj
Yotto,spotify:artist:5Dyfxq0ZrFjjeFBdSNxDbo
Bicep,spotify:artist:73A3bLnfnz5BoQjb4gNCga
Francesca Lombardo,spotify:artist:53k6hml77TQV6Eub3zdbju
Eelke Kleijn,spotify:artist:1FY8kqUQKHwjibwLbp5cey
Be Svendsen,spotify:artist:4BaLB5aiExO29BEGVUisru
Kollektiv Turmstrasse,spotify:artist:1oXiuCd5F0DcnmXH5KaM6N
Buena Vista Social Club,spotify:artist:11kBu957KTYoAltZHDm8gW
Dirty Doering,spotify:artist:4N6XVXvfjBPNFCdS56TCea
Mano Le Tough,spotify:artist:04KmByEP6icXVY0PvJaMMp
Bedouin,spotify:artist:5bKdC6382t97Qnpvs81Rqx
"['Joy Wellboy', 'Dixon']","['spotify:artist:61G7yQtFBGRRbJlohUvlPG', 'spotify:artist:3wc57nV2fGEoM8x4xPK1O9']"
"['Gabriel Vitel', 'Tony Casanova']","['spotify:artist:1cdGFmm7cm0yvD7mA40R8x', 'spotify:artist:6aRhznYRuDprkHf1z0Jgws']"
Henry Saiz,spotify:artist:1f5QPXLfjlzlG77lCkdl0W
"['Klangkuenstler', 'Alice Phoebe Lou']","['spotify:artist:6H77vD9YyhyxHBTkRpbMBk', 'spotify:artist:03uMw43UVu9MsQCcHVSGjX']"
"['Agoria', 'Phoebe Killdeer']","['spotify:artist:4lu50np3LdTkRL09T7x8UP', 'spotify:artist:318VpIRUWele6jD0k3ldkT']"
Jon Hopkins,spotify:artist:7yxi31szvlbwvKq9dYOmFI
"['Mathame', 'Tale Of Us']","['spotify:artist:6QSwQEz8CDMg8Rqk8dEkxS', 'spotify:artist:1UL813H5aj3e8ekE5RqWqc']"
"['Tale Of Us', 'Kiasmos']","['spotify:artist:1UL813H5aj3e8ekE5RqWqc', 'spotify:artist:6X8lhZ7YaRUBlOsOYimlyD']"
"['Audiofly', 'Fiora']","['spotify:artist:7JfTEfBRAB8ccDajaHdMlT', 'spotify:artist:2r7POU2f5jV6x3k4vsNwrM']"
"['Monolink', 'Tale Of Us']","['spotify:artist:2I4hRNCYkPKJQlkoEZKjYx', 'spotify:artist:1UL813H5aj3e8ekE5RqWqc']"
Tale Of Us,spotify:artist:1UL813H5aj3e8ekE5RqWqc
Floating Points,spotify:artist:2AR42Ur9PcchQDtEdwkv4L
Paul Kalkbrenner,spotify:artist:0rasA5Z5h1ITtHelCpfu9R
Connan Mockasin,spotify:artist:247AfC9pLuqwgpH8Mo96oA
