artists,artists_id
Mitski,spotify:artist:2uYWxilOVlUdk4oV9DvwqK
Mitski,spotify:artist:2uYWxilOVlUdk4oV9DvwqK
Mitski,spotify:artist:2uYWxilOVlUdk4oV9DvwqK
Mitski,spotify:artist:2uYWxilOVlUdk4oV9DvwqK
Mitski,spotify:artist:2uYWxilOVlUdk4oV9DvwqK
Kate Bush,spotify:artist:1aSxMhuvixZ8h9dK9jIDwL
Mitski,spotify:artist:2uYWxilOVlUdk4oV9DvwqK
Guerilla Toss,spotify:artist:2PlLrStX2yK6CzyRi3TKnO
"['Sons Of Kemet', 'Joshua Idehen']","['spotify:artist:3pvRbmrqOyFxB2Eext4Dki', 'spotify:artist:3PubLnxnO5N2Avr3UvG1Vc']"
Tropical Fuck Storm,spotify:artist:0mL6LBSQ4bHe6hWq90KzHL
Blood Orange,spotify:artist:6LEeAFiJF8OuPx747e1wxR
Guerilla Toss,spotify:artist:2PlLrStX2yK6CzyRi3TKnO
Iglooghost,spotify:artist:7LCDnUQYE07fnKbo46SVLB
Death Grips,spotify:artist:5RADpgYLOuS2ZxDq7ggYYH
Sons Of Kemet,spotify:artist:3pvRbmrqOyFxB2Eext4Dki
Kero Kero Bonito,spotify:artist:6OqhFYFJDnBBHas02HopPT
Jon Hopkins,spotify:artist:7yxi31szvlbwvKq9dYOmFI
Petite Noir,spotify:artist:4dGwtd1FYag1VY1vaR1U8y
George Clanton,spotify:artist:1G5v3lpMz7TeoW0yGpRQHr
death's dynamic shroud,spotify:artist:1F31FB7Y6ic4844PbqMf7c
yeule,spotify:artist:1WZarnZpWEv7dDtjAETt4X
"['Randall Dunn', 'Zola Jesus']","['spotify:artist:5rgewAqTiFpAuxw6WNaOZp', 'spotify:artist:78OKNrjc3BvniYTqvpOp6P']"
The Microphones,spotify:artist:7Ht57YadlBXcFJDK3plmhO
"['Mount Eerie', 'Julie Doiron', 'Fred Squire']","['spotify:artist:4Sw0SFu1fFdYXdAEVdrqnO', 'spotify:artist:1sjeOeIPG7quxVgmNspYyT', 'spotify:artist:3nb1VX9PfkFRcMFjInkNoU']"
Carla dal Forno,spotify:artist:6FVxEgfQsGrJ0BogIOYCd6
"['Dean Blunt', 'TYSON']","['spotify:artist:5CFSYjc0PAiQvndFjafabk', 'spotify:artist:10SYd6NatYImOQTxA88jdn']"
Daughters,spotify:artist:1LhK7wn59Hq6GNN4sUS3ih
"['Interpol', 'Pêtr Aleksänder']","['spotify:artist:3WaJSfKnzc65VDgmj2zU8B', 'spotify:artist:6NXrsSyjmxtUrYh3kaAexZ']"
Oneohtrix Point Never,spotify:artist:2wPDbhaGXCqROrVmwDdCrK
Kelly Moran,spotify:artist:1SFqXNEGetmMW6VPZseNqy
Boy Harsher,spotify:artist:4iom7VVRU6AHRIu1JUXpLG
"['Pan Amsterdam', 'Open Mike Eagle']","['spotify:artist:7KPqrVAWjUBAtn8tiZayOE', 'spotify:artist:5CuU6SRJjbbZL926nSGGxX']"
Art Feynman,spotify:artist:6XlzzwOhKSberPLmwDEmkc
Jefre Cantu-Ledesma,spotify:artist:5MqgtmMdtrsZIQpZzLhpX5
Daughters,spotify:artist:1LhK7wn59Hq6GNN4sUS3ih
Yves Tumor,spotify:artist:0qu422H5MOoQxGjd4IzHbS
Julia Holter,spotify:artist:0bsV0sUjnCuCTYOnNHQl3E
"['Yves Tumor', 'James K']","['spotify:artist:0qu422H5MOoQxGjd4IzHbS', 'spotify:artist:25BObiRSDCMwVrBGIVaLIf']"
Kero Kero Bonito,spotify:artist:6OqhFYFJDnBBHas02HopPT
Duval Timothy,spotify:artist:4t5XnkAKxcaYcDXI726A4Y
Kero Kero Bonito,spotify:artist:6OqhFYFJDnBBHas02HopPT
The Microphones,spotify:artist:7Ht57YadlBXcFJDK3plmhO
Sun Ra,spotify:artist:0tIODqvzGUoEaK26rK4pvX
Black Marble,spotify:artist:6Nii4K84ZzBZS8X2MP8c9t
Beat Happening,spotify:artist:1qHR9DMfOJQjvWLEfMZQlG
Strawberry Switchblade,spotify:artist:4z5NjzIMyaQC4dPxxzxF6e
Alessio Bax,spotify:artist:5XQSLo7FpTb3FJ69O7y2ur
Sonic Youth,spotify:artist:5UqTO8smerMvxHYA5xsXb6
Sonic Youth,spotify:artist:5UqTO8smerMvxHYA5xsXb6
Sonic Youth,spotify:artist:5UqTO8smerMvxHYA5xsXb6
Boy Harsher,spotify:artist:4iom7VVRU6AHRIu1JUXpLG
Kate Bush,spotify:artist:1aSxMhuvixZ8h9dK9jIDwL
Kate Bush,spotify:artist:1aSxMhuvixZ8h9dK9jIDwL
Julianna Barwick,spotify:artist:0HWfFWL4vVrbaBQqxVCwCi
Them Are Us Too,spotify:artist:5momCJTdVuC4H9xHhYkaiK
"['Varg²™', 'Yung Lean']","['spotify:artist:4g2EfgpanE2Z9LG1nQ9zNy', 'spotify:artist:67lytN32YpUxiSeWlKfHJ3']"
Arbes,spotify:artist:4EJsm8GVADYCXpKNNrFjtu
GAS,spotify:artist:0J8cNhY7V2NoRt9O6uCeUX
The Pastels,spotify:artist:4Nu0EL8c5d2vFHPOcNjlBP
Fugazi,spotify:artist:62sC6lUEWRjbFqXpMmOk4G
Lower Dens,spotify:artist:5uTJLo3c4ZHpH8oEwGxYUN
U.S. Girls,spotify:artist:3AHFDfqhSqPBecjQDIOIJA
Have A Nice Life,spotify:artist:0FRKTwQSToXpCxYMhyUzYY
Have A Nice Life,spotify:artist:0FRKTwQSToXpCxYMhyUzYY
Soccer Mommy,spotify:artist:4wXchxfTTggLtzkoUhO86Q
"['KIDS SEE GHOSTS', 'Yasiin Bey']","['spotify:artist:2hPgGN4uhvXAxiXQBIXOmE', 'spotify:artist:6r2niOTnexy9xss5g8GWXH']"
