uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:1iQDltZqI7BXnHrFy4Qo1k,0.619,0.459,7,-5.782,0,0.0334,0.56,0,0.137,0.498,126.803
spotify:track:384Kl6cCskuawCZnEPIGrN,0.561,0.818,9,-5.347,1,0.267,0.0839,2.91e-05,0.205,0.376,133.949
spotify:track:5mCprFWOqe0jB96v9RhLBo,0.827,0.682,6,-7.111,0,0.0435,0.00048,0.0187,0.101,0.933,117.967
spotify:track:2vcfImyMOQjYhnKOVkjoIR,0.456,0.94,3,-3.334,0,0.0703,4.91e-05,0.000165,0.328,0.463,174.038
spotify:track:7i1pavASRUZk62ejaUIESa,0.385,0.62,1,-8.316,0,0.147,0.0815,0,0.352,0.415,75.564
spotify:track:3YO9uV2vhmC9Bnm2zhEkqb,0.556,0.453,0,-11.061,0,0.104,0.765,0.0161,0.116,0.399,84.693
spotify:track:2VUFlOjcXAEuvMOpQ6mz7Y,0.703,0.61,7,-5.254,1,0.416,0.683,0,0.0999,0.663,114.96
spotify:track:0A472qovEW32nP2G0mkJoe,0.477,0.275,5,-10.091,1,0.0675,0.908,4.79e-06,0.0909,0.263,72.717
spotify:track:3iGz75NJkqHubYUMRELLyP,0.61,0.318,8,-9.95,1,0.148,0.506,0.000617,0.102,0.214,109.491
spotify:track:3xaugmCyXrVkrDTXbFkMW3,0.552,0.65,1,-7.199,1,0.128,0.422,0.000275,0.372,0.316,167.788
spotify:track:0rKtyWc8bvkriBthvHKY8d,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964
