artists,artists_id
"['HONNE', 'BEKA']","['spotify:artist:0Vw76uk7P8yVtTClWyOhac', 'spotify:artist:1ClmHgLorY9RUCIvsTdT7A']"
Ruth B.,spotify:artist:2WzaAvm2bBCf4pEhyuDgCY
"['Jennifer Chung', 'Joules']","['spotify:artist:4Lu5b0djNHU6poRdy9db1g', 'spotify:artist:0MCWYrMtzCZf6lngYr2irf']"
Ruel,spotify:artist:5xkAtLTf309LAGZTbvULBn
"['88rising', 'Joji', 'NIKI']","['spotify:artist:1AhjOkOLkbHUfcHDSErXQs', 'spotify:artist:3MZsBdqDrRTJihTHQrO6Dq', 'spotify:artist:2kxP07DLgs4xlWz8YHlvfh']"
Joji,spotify:artist:3MZsBdqDrRTJihTHQrO6Dq
Joji,spotify:artist:3MZsBdqDrRTJihTHQrO6Dq
"['88rising', 'Joji', 'Rich Brian', 'Higher Brothers', 'AUGUST 08']","['spotify:artist:1AhjOkOLkbHUfcHDSErXQs', 'spotify:artist:3MZsBdqDrRTJihTHQrO6Dq', 'spotify:artist:2IDLDx25HU1nQMKde4n61a', 'spotify:artist:07ZhipyrvoyNoJejeyM0PQ', 'spotify:artist:2iB8eFB6flwQculkUrRssi']"
NIKI,spotify:artist:2kxP07DLgs4xlWz8YHlvfh
NIKI,spotify:artist:2kxP07DLgs4xlWz8YHlvfh
Shoffy,spotify:artist:4wO0kHiOwf8l9VMJJN9HmG
Nao,spotify:artist:7aFTOGFDEqDtJUCziLVsVC
R.LUM.R,spotify:artist:7JBZN2pehWRUu3fX11lP2y
Rothy,spotify:artist:0jUn8CXobOt0IixyR72una
"['Kölsch', 'Sasha']","['spotify:artist:2D9Oe8R9UhbMvFAsMJpXj0', 'spotify:artist:6u4jLGLPuarS3i2XWHVxoS']"
George FitzGerald,spotify:artist:3KOHpygRuo1ruQAbEneR3t
Avalon Emerson,spotify:artist:4yrO1N273PlTaixa4BNwBz
Zenith,spotify:artist:7nAVQVPYs1x4WsCobkBjX1
Jacques Greene,spotify:artist:0ygIgsjUzKivFgxgjQ9iV9
Hidden Empire,spotify:artist:44Ga1YqZthFOzZSTHiNWkC
Mario Ochoa,spotify:artist:2zviRwkdWgt0rjV3cxM7mg
Mark Reeve,spotify:artist:58zZkWGb6qvx0AJ6L3ttlZ
Maceo Plex,spotify:artist:3TXQ1ddouwQAI78hV4hXDj
Bonobo,spotify:artist:0cmWgDlu9CwTgxPhf403hb
High Contrast,spotify:artist:0bxHci3JIhhKA53n8rH3tT
Maceo Plex,spotify:artist:3TXQ1ddouwQAI78hV4hXDj
Laurence Guy,spotify:artist:1PTEiCpkzNkLNgMi1LL8JR
"['Modeselektor', 'Tommy Cash']","['spotify:artist:2jYMYP2SVifgmzNRQJx3SJ', 'spotify:artist:44XzG6GoJZNtkIGW19hsUK']"
"['Paul Woolford', 'Kim English']","['spotify:artist:4CA8PTrbq1l5IgyvBA2JSV', 'spotify:artist:1Tvhj4mF2pvvAT1InLbRKs']"
High Contrast,spotify:artist:0bxHci3JIhhKA53n8rH3tT
"['Kink', 'Dusky']","['spotify:artist:6yCdWsTDt4Dmb5GMZd5QLb', 'spotify:artist:5gqoUf9vKKv96b1c0GBKwu']"
Jung Jin Woo,spotify:artist:5uVgoepJHC3fbOohI5gXc4
Daphne Loves Derby,spotify:artist:1ATAh4PZe1BdqF403XqGiV
RM,spotify:artist:2auC28zjQyVTsiZKNgPRGs
Kehlani,spotify:artist:0cGUm45nv7Z6M6qdXYQGTX
Kehlani,spotify:artist:0cGUm45nv7Z6M6qdXYQGTX
Kehlani,spotify:artist:0cGUm45nv7Z6M6qdXYQGTX
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA
FKA twigs,spotify:artist:6nB0iY1cjSY1KyhYyuIIKH
BANKS,spotify:artist:2xe8IXgCTpwHE3eA9hTs4n
BANKS,spotify:artist:2xe8IXgCTpwHE3eA9hTs4n
"['Susie Suh', 'Robot Koch']","['spotify:artist:6zDFhpdu4WUVVGTz0JSLMh', 'spotify:artist:47V6nyjOrUR98qv6gkYssI']"
Rachael Yamagata,spotify:artist:7w0qj2HiAPIeUcoPogvOZ6
Vienna Teng,spotify:artist:0xbwBKuWBNWfDBFsrRJEJG
Sasha Sloan,spotify:artist:4xnihxcoXWK3UqryOSnbw5
FINNEAS,spotify:artist:37M5pPGs6V1fchFJSgCguX
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA
"['Daniel Caesar', 'H.E.R.']","['spotify:artist:20wkVLutqVOYrc0kxFs7rA', 'spotify:artist:3Y7RZ31TRPVadSFVy1o8os']"
Sam Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI
"['Daniel Caesar', 'Kali Uchis']","['spotify:artist:20wkVLutqVOYrc0kxFs7rA', 'spotify:artist:1U1el3k54VvEUzo3ybLPlM']"
Alec Benjamin,spotify:artist:5IH6FPUwQTxPSXurCrcIov
Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
"['Young Thug', 'J. Cole', 'Travis Scott']","['spotify:artist:50co4Is1HCEo8bhOyUWKpn', 'spotify:artist:6l3HvQ5sa6mXTsMTB19rO5', 'spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY']"
"['Lil Baby', 'Gunna']","['spotify:artist:5f7VJjfbwm532GiveGC0ZK', 'spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ']"
Gunna,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ
White Lies,spotify:artist:6ssXMmc5EOUrauZxirM910
"['Massive Attack', 'Hope Sandoval']","['spotify:artist:6FXMGgJwohJLUSr5nVlf9X', 'spotify:artist:7zS53Xa6sVgfoh00kckgyV']"
The Chemical Brothers,spotify:artist:1GhPHrq36VKCY3ucVaZCfo
Hercules & Love Affair,spotify:artist:1WHoAjAWGx5qLsgzpaOk7W
Digitalism,spotify:artist:2fBURuq7FrlH6z5F92mpOl
Portishead,spotify:artist:6liAMWkVf5LH7YR9yfFy1Y
Arcade Fire,spotify:artist:3kjuyTCjPG1WMFCiyc5IuB
"['Maribou State', 'Holly Walker']","['spotify:artist:7zrkALJ9ayRjzysp4QYoEg', 'spotify:artist:5vssQp6TyMHsx4mihKVAsC']"
Bruno Major,spotify:artist:0hDjKSKjl1DC7ovYTDJHe8
Alextbh,spotify:artist:0kXDB5aeESWj5BD9TCLkMu
"['Sabrina Claudio', '6LACK']","['spotify:artist:30DhU7BDmF4PH0JVhu8ZRg', 'spotify:artist:4IVAbR2w4JJNJDDRFP3E83']"
"['Jbdk', 'Jbre', 'Dougie Kent']","['spotify:artist:6RNwXEyF93qWE2PrZmK1rE', 'spotify:artist:5TupSTkcwrZAmFOl4E2AzB', 'spotify:artist:52z568XtZnLlniLw6Ag2y4']"
"['BTS', 'Zara Larsson']","['spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX', 'spotify:artist:1Xylc3o4UrD53lo9CvFvVg']"
"['BTS', 'Charli XCX']","['spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX', 'spotify:artist:25uiPmTg16RbhZWAqwLBy5']"
Moses Sumney,spotify:artist:5W10uJRsbt9bROJDKoI1Wn
Moses Sumney,spotify:artist:5W10uJRsbt9bROJDKoI1Wn
"['Khalid', 'Disclosure']","['spotify:artist:6LuN9FCkKOj5PcnpouEgny', 'spotify:artist:6nS5roXSAGhTGr34W6n7Et']"
SHAUN,spotify:artist:72nLe76yBFSlP6VBzME358
Ruel,spotify:artist:5xkAtLTf309LAGZTbvULBn
"['gnash', ""Olivia O'Brien""]","['spotify:artist:3iri9nBFs9e4wN7PLIetAw', 'spotify:artist:1QRj3hoop9Mv5VvHQkwPEp']"
"['benny blanco', 'Halsey', 'Khalid']","['spotify:artist:5CiGnKThu5ctn9pBxv7DGa', 'spotify:artist:26VFTg2z8YR0cCuwLzESi2', 'spotify:artist:6LuN9FCkKOj5PcnpouEgny']"
"['Calvin Harris', 'Dua Lipa']","['spotify:artist:7CajNmpbOovFoOoasH2HaY', 'spotify:artist:6M2wZ9GZgrQXHCFfjv46we']"
"['Skizzy Mars', 'Prelow']","['spotify:artist:00Z3UDoAQwzvGu13HoAM7J', 'spotify:artist:7aSRqRjQAYTEm2fFohlZZn']"
Chase Atlantic,spotify:artist:7cYEt1pqMgXJdq00hAwVpT
Kevin Garrett,spotify:artist:56tbeL5xhBPxby544GuK3E
Kevin Garrett,spotify:artist:56tbeL5xhBPxby544GuK3E
King Princess,spotify:artist:6beUvFUlKliUYJdLOXNj9C
Eric Nam,spotify:artist:2FLqlgckDKdmpBrvLAT5BM
R.LUM.R,spotify:artist:7JBZN2pehWRUu3fX11lP2y
"['Gallant', 'Tablo', 'Eric Nam']","['spotify:artist:7wFDo161xYdeaiLz3KIHoM', 'spotify:artist:3NdOtTPPaXrCyC7Lpmzyhv', 'spotify:artist:2FLqlgckDKdmpBrvLAT5BM']"
R.LUM.R,spotify:artist:7JBZN2pehWRUu3fX11lP2y
god,spotify:artist:1nTCpd63NkuGGpCIbo4Ywl
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
"['Jack Ü', 'Skrillex', 'Diplo', 'Justin Bieber', 'Ember Island']","['spotify:artist:1HxJeLhIuegM3KgvPn8sTa', 'spotify:artist:5he5w2lnU9x7JFhnwcekXX', 'spotify:artist:5fMUXHkw8R8eOP2RNVYEZX', 'spotify:artist:1uNFoZAHBGtllmzznpCI3s', 'spotify:artist:1I5eQkzyM8jCVZIM3k2bKL']"
"['Kendrick Lamar', 'Drake']","['spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg', 'spotify:artist:3TVXtAsR1Inumwj472S9r4']"
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
"['ODESZA', 'Zyra']","['spotify:artist:21mKp7DqtSNHhCAU2ugvUw', 'spotify:artist:0DGAOR3KtqWwWSwDzhzqOa']"
Passion Pit,spotify:artist:7gjAu1qr5C2grXeQFFOGeh
Passion Pit,spotify:artist:7gjAu1qr5C2grXeQFFOGeh
Ki:Theory,spotify:artist:1mB4aweE1XGdjbFVFC8i5m
Ki:Theory,spotify:artist:1mB4aweE1XGdjbFVFC8i5m
Usher,spotify:artist:23zg3TcAtWQy7J6upgbUnj
James Brown,spotify:artist:7GaxyUddsPok8BuhxN6OUW
